Period Ending:,Total Revenue,Cost of Revenue,Gross Profit,Research and Development,Sales General and Admin,Non-Recurring Items,Other Operating Items,Operating Income,Add'l income/expense items,Earnings Before Interest and Tax,Interest Expense,Earnings Before Tax,Income Tax,Minority Interest,Equity Earnings/Loss Unconsolidated Subsidiary,Net Income,Net Income Applicable to Common Shareholders,Symbol
2022-12-31,11915000,6468000.0,5447000.0,460000.0,1279000.0,1320000.0,2185000.0,203000.0,27000.0,176000,227000.0,51000,455000,107000.0,60000.0,429000,429000,NEM
2021-12-31,12222000,5435000.0,6787000.0,363000.0,2248000.0,25000.0,2323000.0,1828000.0,446000.0,1953000,274000.0,1679000,1098000,166000.0,933000.0,1166000,1166000,NEM
2020-12-31,11497000,5014000.0,6483000.0,309000.0,1019000.0,49000.0,2300000.0,2806000.0,645000.0,3451000,308000.0,3143000,704000,189000.0,38000.0,2829000,2829000,NEM
2019-12-31,9740000,5195000.0,4545000.0,415000.0,893000.0,0.0,1960000.0,1277000.0,2717000.0,3994000,301000.0,3693000,832000,95000.0,79000.0,2805000,2805000,NEM
2022-12-31,11013000,7497000.0,3516000.0,0.0,245000.0,2021000.0,0.0,1740000.0,16000.0,1982000,301000.0,1681000,664000,258000.0,0.0,1017000,1017000,GOLD
2021-12-31,11985000,7089000.0,4896000.0,0.0,102000.0,224000.0,0.0,4570000.0,29000.0,4987000,355000.0,4632000,1344000,446000.0,0.0,3288000,3288000,GOLD
2020-12-31,12595000,7417000.0,5178000.0,0.0,97000.0,26000.0,0.0,5055000.0,50000.0,5293000,347000.0,4946000,1332000,288000.0,0.0,3614000,3614000,GOLD
2019-12-31,9717000,6911000.0,2806000.0,0.0,2883000.0,1081000.0,0.0,6770000.0,109000.0,6826000,469000.0,6357000,1783000,165000.0,0.0,4574000,4574000,GOLD
2022-12-31,381314000,284006000.0,97308000.0,1075000.0,12883000.0,1712000.0,18529000.0,63109000.0,915000.0,67996000,3181000.0,64815000,21941000,3972000.0,565000.0,42309000,42309000,SHEL
2021-12-31,261504000,198734000.0,62770000.0,815000.0,11328000.0,1423000.0,26921000.0,22283000.0,7056000.0,33436000,3607000.0,29829000,9199000,4097000.0,529000.0,20101000,20101000,SHEL
2020-12-31,180543000,141094000.0,39449000.0,907000.0,9881000.0,1747000.0,52444000.0,25530000.0,869000.0,22878000,4089000.0,26967000,5433000,1783000.0,146000.0,21680000,21680000,SHEL
2019-12-31,344877000,279421000.0,65456000.0,962000.0,10493000.0,2354000.0,28701000.0,22946000.0,3625000.0,30175000,4690000.0,25485000,9053000,3604000.0,590000.0,15842000,15842000,SHEL
2022-12-31,235717000,170130000.0,65587000.0,0.0,8639000.0,974000.0,16319000.0,39655000.0,1950000.0,50190000,516000.0,49674000,14066000,8585000.0,143000.0,35465000,35465000,CVX
2021-12-31,155606000,112975000.0,42631000.0,0.0,8665000.0,549000.0,17925000.0,15492000.0,1202000.0,22351000,712000.0,21639000,5950000,5657000.0,64000.0,15625000,15625000,CVX
2020-12-31,94471000,72471000.0,22000000.0,0.0,7932000.0,1537000.0,19508000.0,6977000.0,693000.0,6756000,697000.0,7453000,1892000,472000.0,18000.0,5543000,5543000,CVX
2019-12-31,139865000,101498000.0,38367000.0,0.0,8696000.0,770000.0,29218000.0,317000.0,2683000.0,6334000,798000.0,5536000,2691000,3968000.0,79000.0,2924000,2924000,CVX
2022-12-31,78494000,40977000.0,37517000.0,0.0,3987000.0,552000.0,7754000.0,25224000.0,1681000.0,29033000,805000.0,28228000,9548000,2081000.0,0.0,18680000,18680000,COP
2021-12-31,45828000,23852000.0,21976000.0,0.0,2353000.0,1018000.0,7450000.0,11155000.0,1711000.0,13596000,884000.0,12712000,4633000,832000.0,0.0,8079000,8079000,COP
2020-12-31,18784000,12422000.0,6362000.0,0.0,1184000.0,2270000.0,5773000.0,2865000.0,112000.0,2334000,806000.0,3140000,485000,432000.0,46000.0,2701000,2701000,COP
2019-12-31,32567000,17164000.0,15403000.0,0.0,1509000.0,1148000.0,6416000.0,6330000.0,3258000.0,10302000,778000.0,9524000,2267000,779000.0,68000.0,7189000,7189000,COP
2023-03-31,26781000,0.0,26781000.0,0.0,20476000.0,272000.0,0.0,6033000.0,171000.0,6415000,1976000.0,4439000,1083000,211000.0,0.0,9641000,9641000,NGG
2022-03-31,24291000,0.0,24291000.0,0.0,18316000.0,220000.0,0.0,5755000.0,66000.0,5942000,1411000.0,4531000,1656000,121000.0,0.0,3099000,3099000,NGG
2021-03-31,18854000,0.0,18854000.0,0.0,15093000.0,448000.0,0.0,3313000.0,80000.0,3473000,1177000.0,2296000,497000,80000.0,0.0,2264000,2264000,NGG
2020-03-31,16566000,0.0,16566000.0,0.0,13450000.0,290000.0,0.0,2826000.0,67000.0,3001000,1265000.0,1736000,459000,108000.0,0.0,1569000,1569000,NGG
2022-12-31,20956000,10817000.0,10139000.0,0.0,2077000.0,0.0,4503000.0,4081000.0,655000.0,4417000,585000.0,3832000,586000,203000.0,901000.0,4147000,4147000,NEE
2021-12-31,17069000,8508000.0,8561000.0,0.0,1801000.0,0.0,3924000.0,2913000.0,943000.0,4445000,1270000.0,3175000,348000,666000.0,746000.0,3573000,3573000,NEE
2020-12-31,17997000,7473000.0,10524000.0,0.0,1709000.0,0.0,4052000.0,5116000.0,951000.0,4363000,1950000.0,2413000,44000,1351000.0,550000.0,2919000,2919000,NEE
2019-12-31,19204000,8003000.0,11201000.0,0.0,1804000.0,234000.0,4216000.0,5353000.0,1072000.0,6085000,2249000.0,3836000,448000,66000.0,381000.0,3769000,3769000,NEE
2022-12-31,58186000,51502000.0,6684000.0,0.0,241000.0,0.0,0.0,6907000.0,34000.0,6941000,1244000.0,5697000,82000,464000.0,125000.0,5954000,5487000,EPD
2021-12-31,40807000,35078000.0,5729000.0,0.0,209000.0,0.0,0.0,6103000.0,5000.0,6108000,1283000.0,4825000,70000,583000.0,117000.0,5221000,4634000,EPD
2020-12-31,27200000,22371000.0,4829000.0,0.0,220000.0,0.0,0.0,5035000.0,14000.0,5049000,1287000.0,3762000,124000,426000.0,110000.0,4202000,3775000,EPD
2019-12-31,32789200,27061800.0,5727400.0,0.0,211700.0,0.0,0.0,6078700.0,103000.0,5975700,1243000.0,4732700,45600,563000.0,95800.0,5154300,4591300,EPD
